COUNTRY,STATUS,LEGAL,HDI ,GINI,GNI,LITERACY,URBAN,POL,CONFLICT
Venezuela,d,d,0.696,43.4,9160,93,93,7.3,d
Chile,c,b,0.783,52,9490,95.7,89,5.1,d
Russian Federation,c,b,0.719,43.7,9630,99.6,74,6.5,e
Mexico,d,d,0.75,51.6,10050,90.5,78,6.1,e
Poland,d,b,0.795,34.9,11870,99.5,61,4.5,a
Lithuania,d,b,0.783,35.8,11910,99.7,67,6.1,a
Latvia,c,b,0.769,36.3,12020,99.8,68,6.7,b
Hungary,d,b,0.805,30,13010,99,68,6.1,c
Croatia,d,b,0.767,29,13720,98.8,57,6.1,c
Estonia,d,b,0.812,36,14410,99.8,69,6.7,c
Slovak Republic,d,b,0.818,25.8,16590,99.6,55,5.5,c
Trinidad and Tobago,d,c,0.736,40.3,16880,98.6,13,4.7,a
Czech Republic,d,b,0.841,25.8,17140,99,74,3.7,a
Portugal,d,b,0.795,38.5,21520,95.2,60,4.8,a
Korea (Republic),c,d,0.877,31.6,21580,97.9,83,5.1,d
Slovenia,d,b,0.828,31.2,24210,99.7,50,3.8,b
Isreal,c,c,0.872,39.2,24700,97.1,92,5.5,f
New Zealand,d,c,0.907,36.2,27320,99,86,3.6,a
Greece,d,b,0.855,34.3,27810,97,61,6.3,d
Spain,d,b,0.863,34.7,31810,97.7,77,5.5,d
Italy,d,b,0.854,36,35360,98.4,68,5,c
Singapore,b,c,0.846,42.5,36050,92.5,100,4.7,b
Japan,b,d,0.884,24.9,38000,99,90,3.8,c
Australia,d,c,0.937,35.2,41890,99,89,3.6,a
France,d,b,0.872,32.7,42080,99,84,5.3,d
Germany,d,b,0.885,28.3,42680,99,74,3.8,a
Canada,d,d,0.888,32.6,43430,99,80,2.8,b
Belguim,d,b,0.867,33,45090,99,97,4,b
United Kingdom,d,c,0.849,36,45600,99,79,4.6,d
Austria,d,b,0.851,29.1,46250,98,67,3.6,a
United States,c,c,0.902,40.8,47660,99,82,5.3,c
Finland,d,b,0.871,26.9,48110,99,83,3.2,a
Netherlands,d,b,0.89,30.9,49000,99,82,4,a
Ireland,d,c,0.895,34.3,49940,99,62,4.6,a
Sweden,d,b,0.885,25,52420,99,85,3.2,a
Switzerland,d,b,0.874,33.7,56780,99,74,3.4,a
Denmark,d,b,0.866,24.7,58620,99,87,2.2,b
Norway,d,d,0.938,25.8,84850,100,79,1.2,a
